id,title,author,genre,language,publicationYear,publisher,description,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year,isbn
1,Harry Potter and the Sorcerer's Stone,"J.K. Rowling","Fantasy","English",1997,"Bloomsbury","A young wizard discovers his magical heritage and attends Hogwarts School of Witchcraft and Wizardry.",309,"magic,school,adventure",4.89,"UK",TRUE,"Smarties Prize,British Book Award","Children",TRUE,2001,"978-0747532743"
2,"To Kill a Mockingbird","Harper Lee","Southern Gothic","English",1960,"J.B. Lippincott & Co.","A lawyer in the Depression-era South defends a black man against an undeserved rape charge, and his children learn about prejudice.",281,"classic,law,racism,history",4.85,"USA",TRUE,"Pulitzer Prize","Adult",TRUE,1962,"978-0061120084"
3,"1984","George Orwell","Dystopian","English",1949,"Secker & Warburg","A dystopian social science fiction novel and cautionary tale about the future under a totalitarian regime.",328,"politics,scifi,totalitarianism",4.80,"UK",TRUE,"Prometheus Hall of Fame","Adult",TRUE,1984,"978-0451524935"
4,"The Great Gatsby","F. Scott Fitzgerald","Tragedy","English",1925,"Charles Scribner's Sons","A story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan.",180,"classic,wealth,romance,jazz age",4.40,"USA",TRUE,"None","Adult",TRUE,2013,"978-0743273565"
5,"The Hobbit","J.R.R. Tolkien","Fantasy","English",1937,"George Allen & Unwin","Bilbo Baggins, a hobbit, is swept into an epic quest to reclaim the lost Dwarf Kingdom of Erebor.",310,"adventure,dragons,magic",4.75,"UK",TRUE,"Keith Barker Millennium Book Award","Children",TRUE,2012,"978-0547928227"
6,"Pride and Prejudice","Jane Austen","Romance","English",1813,"T. Egerton","The romantic clash between the opinionated Elizabeth Bennet and her proud beau, Mr. Darcy.",279,"classic,love,victorian,satire",4.65,"UK",TRUE,"None","Adult",TRUE,2005,"978-0141439518"
7,"The Catcher in the Rye","J.D. Salinger","Realism","English",1951,"Little, Brown and Company","Holden Caulfield, a teenager from New York, narrates his two days of angst and alienation.",234,"teen,classic,angst,coming-of-age",4.05,"USA",TRUE,"None","Young Adult",FALSE,,"978-0316769488"
8,"The Da Vinci Code","Dan Brown","Thriller","English",2003,"Doubleday","Robert Langdon investigates a murder in the Louvre that leads to a religious mystery protected by a secret society.",489,"mystery,religion,art,conspiracy",4.30,"USA",TRUE,"British Book Award","Adult",TRUE,2006,"978-0307474278"
9,"The Hunger Games","Suzanne Collins","Dystopian","English",2008,"Scholastic","Katniss Everdeen volunteers to take her sister's place in a televised fight to the death.",374,"survival,action,romance,scifi",4.72,"USA",TRUE,"California Young Reader Medal","Young Adult",TRUE,2012,"978-0439023481"
10,"The Lord of the Rings","J.R.R. Tolkien","Fantasy","English",1954,"George Allen & Unwin","Frodo Baggins must destroy the One Ring to defeat the Dark Lord Sauron.",1178,"epic,magic,war,adventure",4.92,"UK",TRUE,"International Fantasy Award","Adult",TRUE,2001,"978-0544003415"
